Camara,Tipo_sensor,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,Observation_B,
1,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Exploracion 1,Female,0,Enter,94e832f8-3302-4d19-868c-59d2e43ff886,2026-02-18 17:05:33,Bien,Bien,Mal,,,
1,Linea_conteo,62b16341-5c73-4a5e-90da-13e261900425,Entrada,Female,0,Enter,94e832f8-3302-4d19-868c-59d2e43ff886,2026-02-18 17:05:33,Bien,Bien,Mal,,,
1,Linea_conteo,62b16341-5c73-4a5e-90da-13e261900425,Exterior L,Female,0,Enter,94e832f8-3302-4d19-868c-59d2e43ff886,2026-02-18 17:05:33,Bien,Bien,Mal,,,
1,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Exploracion 1,Female,0,Exit,94e832f8-3302-4d19-868c-59d2e43ff886,2026-02-18 17:05:41,Bien,Bien,Mal,Oclusión genera cambio de ID,,
1,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Exploracion 1,Female,0,Enter,71dce537-8a61-431a-9466-5f61b81f99c3,2026-02-18 17:05:46,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Entrada,Female,0,Enter,db72af7e-8c23-4c52-b429-0740455795ef,2026-02-18 17:05:50,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Female,0,Enter,db72af7e-8c23-4c52-b429-0740455795ef,2026-02-18 17:05:50,Bien,Bien,Mal,,,
1,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Exploracion 1,Female,0,Exit,71dce537-8a61-431a-9466-5f61b81f99c3,2026-02-18 17:06:05,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior 2,,,Enter,c760,17:06:26,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Female,0,Exit,17471179-eee8-4f4c-abb0-df9f668d1202,2026-02-18 17:15:40,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior L,,,Enter,bad7,17:15:49,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,3fbb,17:15:56,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,9a1a,17:16:07,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,5f5b,17:16:21,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,2986,17:16:22,Mal,,,,Evento no registrado,No registra conteo
1,Linea_conteo,,Exterior L,,,Enter,ef3f,17:16:46,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,d5de,17:16:53,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,"""3e27""",17:17:12,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,e8ec,17:17:21,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,16d0,17:17:37,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,e4e5,17:17:42,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,2586,17:17:56,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,ef5b,17:18:05,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,da11,17:18:09,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior L,Male,0,Enter,7b041a17-81f1-4d30-a714-1e5120df9ce5,2026-02-18 17:18:28,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Male,0,Exit,7b041a17-81f1-4d30-a714-1e5120df9ce5,2026-02-18 17:18:28,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior L,,,Enter,388d,17:18:32,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,5c72,17:18:41,Mal,,,,Evento no registrado,Solo registra conteo
